,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,适宜人群,周边配套,用水类型,用电类型,燃气价格,户型介绍,装修描述,税费解析,权属抵押,售房详情,交通出行,别墅类型
1709,['嘉里云荷廷'],西湖-之江,120.110755,30.176568,520,58056,提前预约随时可看,103113527348,18,3室1厅1厨1卫,低楼层 (共16层),89.57㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-02-26,商品房,2019-06-24,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200510795240,"
                    品牌开发商精装交付，房屋格局完善  边套户型   采光好
                  ","
                    香港嘉里打造，19年6月交付，次新小区，全石材外立面，属高档小区，小区分三期不同时间点交付，楼间距很大，采光完全没影响
                  ","
                    该幢位于小区南面，视野很好  全明户型，  两房朝南客厅朝南带阳
                  ",,,,,,"
                    开发商统一精装加业主加装软装 ，硬装都是进口材料，中 央空调地暖都有，很适合自住
                  ",,,,,,
1710,['金成花园'],西湖-文一西路,120.11235,30.289709,440,53431,有租户需预约,103114667224,15,3室2厅1厨1卫,中楼层 (共7层),82.35㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-04-24,商品房,2005-05-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210527OJ350164,"
                    中间楼层，采光充足，业主诚心出售
                  ","
                    小区分为住宅区和别墅区 住宅总共19幢 1-15是一期大约1998年建成 16-19幢是二期大约2000年建成，小区有两个通车的大门，都在都在竞舟路上，物业0.5 大约1000户 金成房地产开发 金成物业 地处西湖区城西区域
                  ","
                    满足基本配套，距离西城广场800米（购物、娱乐、餐饮方便），距离绿城医院600米，距离竞舟农贸市场10米，距离竞舟30米，西面1.8公里就是西溪湿地，天然氧吧，离城西银泰3公里，离浙大紫荆港校区2.5km，距离西湖景区6.5km
                  ",,"
                    此房位置优越，西门口是桂花城公交站（17路，24路，91路，91路区间车，134路，180路，203路，260路，310路，310路大站车，349路，900路） 南门口距离文二西路竞舟路公交站300米（86路，118路，199路），汽车西站3km
                  ",,,,,,,,,,
1711,['新金都城市花园'],西湖-文一西路,120.103734,30.291368,790,72805,提前预约随时可看,103116471881,6,3室2厅1厨1卫,中楼层 (共6层),108.51㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-08-06,商品房,2017-12-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210806EF529741,"
                    面积108.51平方，标准三房两厅一卫。中间楼层，户型好诚心出售。
                  ","
                    
新金都城市花园为城西板块的金都物业样板房，小区环境优美，有地下车库和地面卷 帘门车库，自带幼儿园，培训班等，方便业主生活。 新金都的小区属于花园洋房的环境，以小高层大户型为主，路面整洁清爽，楼体外观干净户型好，我这套房子，走到东大门口
                  ","
                    
骆家庄农贸市场、绿城心血管医院、杭州联合银行。五洲国际广场、印象城、西城广场、城西银泰都在边上
                  ",,"
                    
交通便利，二号线文新站仅480米，西面是蒋村公交站，旁边古墩路和文一西路有多条交通线，199路 194路 118路 17路 180路 24路
                  ",,,,,,,,,,
1712,['中海定山府'],西湖-转塘,120.068853,30.149384,380,44518,下班后可看,103117098954,0,3室1厅1厨2卫,中楼层 (共17层),85.36㎡,平层,70.23㎡,板楼,南,钢混结构,精装,三梯四户,有,2021-09-09,商品房,2014-09-12,普通住宅,满五年,共有,"
                                有抵押 20
                              ",已上传房本照片,170422743129,"
                    此房满五唯一，税费很少， 篁外少有的不是错层的好户型，
                  ","
                    
中海篁外山庄位于双流社区八角路与鸡山路交汇处，两面环山，总建筑面积约30万方，项目总占地约157亩，整个项目定位为住宅，由12幢联体别墅（排屋）和18幢高层组成
                  ","
                    
该房与800亩中国美院仅举步之遥，历经层层山水涵养与艺文气息的提炼，低调释出山景英伦官邸的尊贵与典雅。小区边有西湖国际高尔夫、度假村等高尚配套云集，社区内更有近方英式园林景观可玩可赏。
                  ",,"
                    此房满五年且唯一 没有增值税和个税，只有契税，契税低于90方，1%的契税，
                  ",,,,,,"
                    离地铁六号线音乐学院站直线距离800米，离霞鸣街站1公里，小区门口就有39路等公交站，出行方便
                  ",,,,
1713,['坤和和家园'],西湖-西溪,120.068675,30.239364,750,54140,提前预约随时可看,103113800029,13,3室2厅1厨2卫,中楼层 (共10层),138.53㎡,平层,108.59㎡,板楼,南,钢混结构,精装,一梯两户,有,2021-03-11,商品房,2015-09-01,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,210404BB702045,"
                    业主自住精装西边套，位置佳采光足，环境秀丽。价格美丽
                  ","
                    坤和和家园是由坤和建设集团开发的一个大型人文生态社区，小区沿杨梅山路两侧分布，建成有御园、翰园、紫园、景园、琉园、鼎园、懿园等七个园区，小区环境优美，园区里修建有露天游泳池、登山游步道等健身设施，丰富业主的日常生活。
                  ","
                    和家园的户型多种多样，从65平米的一居室到300多平米的排屋，小区既适合刚需购房，也适合改善购房，而且小区生态环境优美，也比较适合养老居住。
                  ","
                    小区的各项配套成熟，杨梅山路两侧是商铺，有联华市、杭州银行、民生银行、蓝山咖啡、星巴克咖啡等设施，小区北侧大约4公里处是西溪印象城，小区西边大约3公里处是西溪医院，此外距离小区3公里范围内有建设银行、农业银行、工商银行等配套设施。
                  ",,,,,,,,,,,
1714,['康乐新村'],西湖-文三西路,120.108581,30.283018,380,41046,提前预约随时可看,103116865721,63,3室2厅1厨1卫,低楼层 (共7层),92.58㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021-08-27,商品房,2016-11-16,普通住宅,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,210710YA696514,"
                    西边套   朝向好   3房全明   拎包入住
                  ","
                    康乐新村是建于1995年 开发商是海南崇达房地产有限公司 小区一共22幢 全部是多层 面积段有41.39方的一房 ，还有52.65，90方的两房 还有106方，116方的 three rooms 适合各种类型的刚需 换房客
                  ","
                    该小区位于文三西路与古墩路交汇处，农业银行和中国邮政距离小区500米不到，绿城医院距离小区2000米，距离文三西路世纪联华1000米，生活配套设施齐全
                  ",,,,,,,,,,,,
1715,['都市水乡水秀苑'],西湖-三墩,120.09926,30.329904,280,35022,提前预约随时可看,103115200863,15,3室1厅1厨1卫,高楼层 (共18层),79.95㎡,平层,暂无数据,平房,南,框架结构,精装,两梯四户,有,2021-05-24,商品房,2017-07-24,普通住宅,满两年,非共有,"
                                有抵押 128万元 兴业银行 业主自还
                              ",已上传房本照片,170622110116,"
                    此房 中高楼层，采光好，交通便利  教育资源丰..
                  ","
                    小区内部有游乐场可以供孩子 老人 平时游玩锻炼，小区是全封闭的小区安全系数比较高，内部有东 北两个门可供业主日常出入。
                  ","
                    本小区边上有个都市水乡的大公园平时家人孩子可以散散步，龙湖天街一街之隔，门口三墩站地铁口，出行十分方便， 浙江医院 一公里内，方便
                  ",,,,,,,,,,,,
1716,['翠苑五区'],西湖-翠苑,120.127729,30.289521,330,40923,下班后可看,103111815580,25,3室1厅1厨1卫,高楼层 (共7层),80.64㎡,平层,暂无数据,板楼,东 南,混合结构,简装,一梯两户,无,2020-10-19,商品房,2017-03-23,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200909IX554316,"
                    东边套全明户型，业主自住看房随时都方便的
                  ","
                    翠苑五区位于杭州市西湖文二路418号，建筑以板楼、多层、小高层为主，总1000余户。小区环境舒适，生活便利，配套设施成熟。旁边的小吃店铺很多，两个大型的*市：文二路的世纪华联及文一路的物美。星光城综合体，在小区南面700米处（来自高德测距）
                  ",,,"
                    
地铁丰潭路站300米，学院路站800米，出门就是公交站，小区的南门就是节能公司公交站有25路;37路;41路;74路;74路快线;86路;130路;156路;199路;221路。
                  ",,,,,,,,,,
1717,['朗郡庭园'],西湖-转塘,120.074702,30.169238,378,42160,提前预约随时可看,103105309438,36,2室1厅1厨1卫,低楼层 (共27层),89.66㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,两梯三户,有,2019-07-10,商品房,2018-05-18,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,170803106428,"
                    
高楼层，采光通风好，前面是*视野无遮挡
                  ","
                    
新帝朗郡地处环境优美，自然景观优越的之江国家旅游区地带，南临中国美院象山校区约百米，北接西湖国际高尔夫球场仅百余米。 每一套高层户型都根据它的景观资源度身定制使住户或饱览高尔夫球场，或远眺望江山、象山山景，让景观充分地渗透至朗郡内
                  ","
                    朗郡庭园后有国际高尔夫球场 商场 江口大厦综合体内：世纪联华 肯德基 中国农业银行 工商银行。 象山国际综合体内有：华润万家 肯德基 招商银行 杭州银行 建设银行 中国邮政银行等。 美术学院有里街小吃一条街等娱乐休闲设施
                  ","
                    交通 318,308,4,39,202,等多条公交线路到市区，331,395,840,1406,1407等多条线路到景区。长深高速，国道等主交通线贯穿全境
                  ","
                    人车分流，电梯房，小区配套设施齐全，适合老人、小孩等各类人群居住
                  ",,,,,,,,,,
1718,['康乐新村'],西湖-文三西路,120.108581,30.283018,305,39305,提前预约随时可看,103113810254,6,3室1厅1厨1卫,低楼层 (共7层),77.6㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021-03-11,商品房,2019-06-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,170524376223,"
                    户型方正 不沿马路 配套设施齐全 交通便利
                  ","
                    该小区是西湖区鼎鼎有名的刚需盘 有22幢房子 小区绿树成荫 环境优美 户型从45方-140方不等 适合各种类型的买房客户 吃喝玩乐一应俱全
                  ","
                    汉庭快捷酒店 高祖生煎 星巴克咖啡 知味观 邮政银行 农业银行 杭州银行 世纪联华 西城广场 荷花苑农贸市场等基础配套
                  ",,"
                    有大型公交车站康乐新村站 有290.900.63.70.41.179.24等公交车站通往城西 城北
                  ",,,,,,,,,,
1719,['中海定山府'],西湖-转塘,120.068853,30.149384,390,44043,提前预约随时可看,103113146987,1,3室1厅1厨1卫,高楼层 (共17层),88.55㎡,平层,暂无数据,板楼,南,钢混结构,简装,三梯四户,有,2021-01-21,商品房,2017-03-13,普通住宅,满两年,共有,"
                                有抵押 99.4万元 99.4 业主自还
                              ",已上传房本照片,210301ZM140880,"
                    近地铁口，户型方正，简单装修可拎包入住
                  ","
                    中海篁外山庄位于双流社区八角路与鸡山路交汇处，两面环山，总建筑面积约30万方，项目总占地约157亩，整个项目定位为住宅，由12幢联体别墅（排屋）和18幢高层组成
                  ","
                    该房与800亩中国美院仅举步之遥，历经层层山水涵养与艺文气息的提炼，低调释出山景英伦官邸的尊贵与典雅。小区边有西湖国际高尔夫、度假村等高尚配套云集，社区内更有近方英式园林景观可玩可赏。
                  ",,"
                    1、八角亭(公交站)121米：189路;1400路2、八角亭东(公交站)261米：189路3、沙泥塘(公交站)452米：189路;1400路4、沙泥塘北(公交站)560米：287路;514线路;514B线;595线路
                  ",,,,,,,,,,
1720,['嘉里云荷廷'],西湖-之江,120.110755,30.176568,520,58056,提前预约随时可看,103113527348,18,3室1厅1厨1卫,低楼层 (共16层),89.57㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-02-26,商品房,2019-06-24,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,200510795240,"
                    品牌开发商精装交付，房屋格局完善  边套户型   采光好
                  ","
                    香港嘉里打造，19年6月交付，次新小区，全石材外立面，属高档小区，小区分三期不同时间点交付，楼间距很大，采光完全没影响
                  ","
                    该幢位于小区南面，视野很好  全明户型，  两房朝南客厅朝南带阳
                  ",,,,,,"
                    开发商统一精装加业主加装软装 ，硬装都是进口材料，中 央空调地暖都有，很适合自住
                  ",,,,,,
1721,['九月森林'],西湖-留下,120.050375,30.22584,3200,65400,提前预约随时可看,103117058952,13,6室2厅1厨2卫,低楼层 (共2层),489.3㎡,,暂无数据,,南,钢混结构,毛坯,,,2021-09-07,商品房,2016-01-15,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,180828596919,"
                    西湖区小和山大学城，品质独栋，大花园诚心出售
                  ","
                    
小区是九月森林别墅园，环境优美，安静，是高档小区，留和路上有七所DA学。向北是西溪印象城
                  ","
                    配饰设施齐全。出小区左转没多久就是美食街。农业银行，休闲娱乐，留和路向北是西溪印象城。配套都是可以住户的需求的
                  ",,"
                    
此房在高教园内，人文环境浓厚。浙江工业大学，浙江科技大学，杭州外国语学院等高校。 交通出行： 公交193路，596路，小和山公交总部B支7，193路，小和山站。
                  ",,,,,,,,,,暂无数据
1722,['桂花城'],西湖-文一西路,120.102658,30.288959,835,82486,提前预约随时可看,103114345455,11,2室2厅1厨1卫,中楼层 (共4层),101.23㎡,平层,91.9㎡,板塔结合,南,钢混结构,精装,一梯两户,无,2021-04-08,商品房,2015-11-13,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,210408OP180460,"
                    此房南北通气，不挡光，主卧和客厅阳光足，满五年唯一没有个税。
                  ","
                    此房适合老人家和三口之家，梯房，得房率高，南北通气，房东诚心卖。
                  ",,"
                    一个主卧朝南，一个卧室朝北，客厅朝南， 小区中间位置。采光没有遮挡，业主诚心卖。
                  ",,,,,"
                    桂花城里面自带配套有：会所、幼儿园、小型商店、洗衣店、美容美发等还有篮球场、网球场、乒乓球室、台球室、棋牌室、健身房、游泳池、儿童嬉水池、医疗保健、桂花城服务网点：城西医院、省立同德医院、西城广场
                  ",,,,,,
1723,['马塍路35号'],西湖-学军,120.153618,30.287513,700,104167,提前预约随时可看,103115241943,8,3室1厅1厨1卫,低楼层 (共6层),67.2㎡,平层,61.3㎡,板楼,南,砖混结构,简装,一梯两户,无,2021-05-27,已购公房,2016-04-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210104LX674296,"
                    两房朝南一房朝北，客厅大窗户朝北，南北户型方正
                  ","
                    两房朝南带大阳台，书房朝北，客厅朝北带大窗户，厨房朝北，卫生间在中间
                  ",,,"
                    装修清爽，整体简洁，适合一家人居住，平时房东自住爱护的比较好的
                  ",,,,"
                    试教有学军，十三中，医院有新华医院和中山医院，近地铁口沈塘桥，大型*市卖场，盒马生鲜，麦当劳
                  ",,,,,,
1724,['金地自在城林溪里'],西湖-三墩,120.075108,30.337024,480,54000,提前预约随时可看,103117033189,1,3室1厅1厨1卫,高楼层 (共26层),88.89㎡,平层,70.42㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-09-05,商品房,2014-10-10,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,210908AE349988,"
                    精装修，次新小区，户型格局良好，视野开阔满五年
                  ","
                    金地自在城项目位于杭州市西湖区三墩镇，地块内金家汇河、董家桥河、池华港河、三墩港河四条天然河道。建筑类型包括杭城少见的大规模城市别墅组团、花园洋房、精装修高层景观公寓等，是目前杭州三墩板块规模较大、起点较高的综合性住宅项目
                  ","
                    地铁2号线（开通）4号线在建、三墩公交终点站、快速公交终点站、快速公交2 项目近三墩公交总站、金渡北路公交总站，拥有B支1、B2、37、204、349、403、860等等众多公交线路及四通八达的交通体系；项目可通过紫金港路与绕城高速连接，经古墩路与市终点对接
                  ",,,,,,,,,,,,
1725,['坤和和家园'],西湖-西溪,120.068675,30.239364,950,57064,提前预约随时可看,103116570631,8,4室2厅1厨2卫,高楼层 (共15层),166.48㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2021-08-11,商品房,2014-12-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210812MO316976,"
                    满五年、精装修、拎包入住、全新未入住、户型方正
                  ","
                    坤和和家园小区是由坤和建设集团开发的一个大型社区，小区沿着杨梅山路两侧分布，目前已建成的有七个园区，分别是御园，翰园，紫园，懿园，鼎园，琉园，景园等园区，小区环境优美，绿化面积大，每一户均有露台，可观山景，很适合居住。
                  ","
                    小区的各项配套成熟，杨梅山路两侧是一个小型步行街，有联华、杭州银行、民生银行、蓝山咖啡、星巴克咖啡等设施，小区北侧大约4公里处是西溪印象城，小区西边大约3公里处是西溪医院，此外距离小区3公里范围内有建设银行、农业银行、工商银行等配套设施。
                  ",,"
                    
小区交通出行很便捷，杨梅山路连接西溪路与留和路，距离天目山路、绕城高速、留泗路等杭州市交通主干道，无论是到武林广场，还是到之江、滨江等区域，都很方便；而且331381、B支7等公交线路，更加方便了小区业主出行。
                  ",,,,,,,,,,
1726,['复地黄龙和山'],西湖-西溪,120.070838,30.248866,500,57183,提前预约随时可看,103115301736,16,3室1厅1厨2卫,中楼层 (共8层),87.44㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-05-30,商品房,2016-09-27,普通住宅,满五年,共有,"
                                有抵押 180万元
                              ",已上传房本照片,200809ZP263135,"
                    
户型方正 自住精装 楼层好次新房 小区人车分流
                  ","
                    
复地黄龙和山定位为西溪板块内城市居所，亦是复地集团入驻杭州多年来山水系筑品。复地黄龙和山是集合复地集团21年筑城经验，在继上海复地御西郊、南京复地御钟山、北京Peking House等城市标志性产品之后，择址杭州西溪路与山水之间
                  ","
                    综合商场：世纪联华、西溪印象城、西溪天堂，幼稚园，西溪湿地公园 银行：工行、农行、建行、中行等，杭州银行 医院：117医院、西溪医院、天目山医院其他：中粮食品、东山农贸市场、克丽缇娜
                  ",,"
                    
小区位于西溪路和杨梅山路路口 有多条公交线路通往杭州各地 距离汽车西站3.3公里 距离绕城高速留下枢纽收费站1.7公里 出行方便
                  ",,,,,,,,,,
1727,['茶市新村'],西湖-西溪,120.063483,30.246362,290,35401,提前预约随时可看,103113989538,8,2室2厅1厨1卫,中楼层 (共6层),81.92㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021-03-20,商品房,1995-03-15,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,201007QO325171,"
                    此房中间楼层，采光充足，房东诚心卖，满五唯一
                  ","
                    此房两房朝南，带阳台，采光足，客厅朝北，一厨一卫，楼层高，视野好
                  ",,,"
                    
留下西 （136路; 193路; 193路快线; 213b线; 213路; 310路; 310路快线; 331路; 596路; b支7a线; b支7b线; b支7路），在建3号线留下地铁站
                  ",,,,"
                    小区有联华*市、西溪印象城、西溪医院、杭州市留下邮政支局银行、杭州联合农村合作银行留下支行，其他：留下金屏农贸市场，小区内部配套：临时停车场
                  ",,,,,,
1728,['华苑公寓'],西湖-文一西路,120.104148,30.293615,550,101551,提前预约随时可看,103117041078,1,2室1厅1厨1卫,高楼层 (共7层),54.16㎡,复式,45.9㎡,板楼,南,混合结构,精装,一梯两户,无,2021-09-06,商品房,2010-05-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210906UQ123765,"
                    华苑公寓 两年左右精装修 满五年 北面房间不算面积
                  ","
                    公园：距离小区500米左右，有个紫金园，不同的季节种植不同的花草，内置小椅子，闲暇时候适合带家人朋友散散步 医院：距离小区1公里左右有绿城心血管医院，3公里左右有浙江省省立同德医院 商城：距离小区1公里以内有西城广场、印象城、五洲国际
                  ",,,"
                    小区出口处就是286、186、860、89、43、25、24、54公交车站，出门500米就是西城医疗机构，800米的路程就是古墩印象城，肯德基，麦当劳，星巴克一样不少，星艺街菜场，文新夜市早晚不停，工商、农行、杭州联合银行，旁边地铁二号线已开通
                  ",,,,,,,,,,
1729,['马塍路11号'],西湖-文三,120.153745,30.282223,600,101079,提前预约随时可看,103115903814,5,2室1厅1厨1卫,高楼层 (共6层),59.36㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-07-03,已购公房,2014-06-03,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,210703YL864874,"
                    满五年 ，95年的房龄，户型方正改成三房了
                  ","
                    房子1995年的小区，两房朝南带阳台，客厅有窗户 户型方正，厨房朝北有窗户。
                  ",,,"
                    
小区北边是文三路，旁边是马塍路，有公交站文三路马塍路路口站，往北200米是下宁桥站，往西北500米是沈塘桥站，都已开通。”边上也有共享自行车可骑行
                  ",,,,"
                    
距离农贸市场约50米，距离联华约250米，距离新华医院约500米，距离博库书城约200米，距离西溪数码港约400米，距离五星电器约500米，生活配套成熟，交通方便。
                  ",,,,,,
1730,['高教新村'],西湖-文一西路,120.102942,30.292881,850,91922,提前预约随时可看,103113830968,21,3室1厅1厨1卫,中楼层 (共7层),92.47㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2021-03-12,商品房,2018-09-25,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,180509791977,"
                     东边套 中间楼层 诚心出售 精装修三房
                  ","
                    户型是两房朝南厅朝东带个阳台，一房朝北，厨卫朝北的户型，南北通风好
                  ",,,"
                    
小区出口处就是286、186、860、89、43、25、24、54公交车站，出门500米就是西城医疗机构，800米的路程就是古墩印象城，肯德基，麦当劳，星巴克一样不少，星艺街菜场，文新夜市早晚不停，工商、农行、杭州联合银行，旁边地铁二号线已开通
                  ",,,,"
                    公园：距离小区500米左右，有个紫金园，不同的季节种植不同的花草，内置小椅子，闲暇时候适合带家人朋友散散步 医院：距离小区1公里左右有绿城心血管医院，3公里左右有浙江省省立同德医院 商城：距离小区1公里以内有西城广场、印象城、五洲国际
                  ",,,,,,
1731,['政新花园'],西湖-文一西路,120.105535,30.297429,630,76746,下班后可看,103116685460,0,3室2厅1厨1卫,低楼层 (共6层),82.09㎡,平层,74.09㎡,板楼,南,混合结构,简装,一梯两户,无,2021-08-18,商品房,2012-09-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210818KD028310,"
                    此房满5年，房东诚心出售，看房提前联系。。户型好不沿马路，  
                  ","
                    小区环境好，停车方便，小区物业认真负责，自住比较多，居住人员总体素质高。
                  ","
                    此房户型方正，2房朝南，厅朝北，1房朝北的户型。房东换房诚心出售。
                  ",,,,,,"
                    此小区出入方便，家门口公交站政新花园站，小区门口就是二号地铁口文新站，跟浙大紫金港校区相隔余杭塘河。 
                  ",,,,,,
1732,['耀江文萃苑'],西湖-文教,120.137856,30.294167,1550,88254,提前预约随时可看,103114540152,7,4室1厅1厨2卫,高楼层 (共18层),175.63㎡,错层,暂无数据,板楼,南,砖混结构,简装,两梯两户,有,2021-04-17,商品房,2004-09-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210108TX050676,"
                    满五不唯一、四房朝南格局好、配套设施齐全
                  ","
                    耀江文萃苑，位于教工路与学院路之间,北临文一路,与杭州师范学院隔街相望。17幢高层、小高层现代建筑围合布局，建筑面积达10万余平方米。文萃苑主力目标销售对象锁定在35岁-45岁左右社会中产，有一定的经济实力，有较成功的社会经历人士。
                  ","
                    房龄新环境好、配套成熟；高楼层无遮挡西边套采光好；四房朝南格局好。
                  ",,"
                    小区门前是文一路学院路公交站 11路 19路 43路 70路 75路 79路 211路等均可以和2号线学院路地铁站 10号线翠柏路站进行换乘。距离文一路隧道和德胜快速路约有600米左右，进出方便 交通快捷。
                  ",,,,"
                    一公里内有世纪联华、物美和铂谰大象城，两公里内有省立同德医院、西溪公园等。
                  ",,,,,,
1733,['文二路48号'],西湖-文教,120.150096,30.290558,480,89720,提前预约随时可看,103115921892,2,2室1厅1厨1卫,低楼层 (共6层),53.5㎡,平层,49.83㎡,板楼,南,砖混结构,简装,一梯三户,无,2021-07-04,已购公房,2009-11-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210704BL957820,"
                     房东诚心出售户型好 采光视野好，居住舒适
                  ","
                    
房子是独门独户，安全系数比较高，上课比较方便，出行很方便，旁边有个幼儿园
                  ","
                    
200米处就有大型农贸菜市场，600米左右就是下宁桥地铁口，300米左右就有公交车站，可通少年宫、西湖、机场快线
                  ",,"
                    
该房屋是业主二手房买过来的，此房已经满五年了，另外只需要交1%的契税和1%的个税就可以了
                  ",,,,,,,,,,
1734,['耀江文萃苑'],西湖-文教,120.137856,30.294167,1169,87988,提前预约随时可看,103117021324,0,3室1厅1厨2卫,低楼层 (共18层),132.86㎡,平层,暂无数据,板楼,南,砖混结构,简装,两梯两户,有,2021-09-05,商品房,2004-09-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210904FQ961727,"
                    满五年，中间楼层，三房西边套， 装修清爽自住
                  ","
                    耀江文萃苑由耀江房产开发, 位于教工路与学院路之间, 北临文一路, 与原杭州师范学院隔街相望。共17幢现代建筑呈围合布局，建筑面积达10万余平方米. 主力目标销售对象在35岁-45岁左右社会中产，有一定的经济实力，有较成功的社会人士.
                  ","
                    
1.距离城西银泰开车大约3.5公里左右 大悦城开车约2公里左右 远洋乐堤港大约3公里左右 2.到翠苑物美步行大约800米左右 城市芯宇物美步行大约800米左右 3.到省立同德医院步行约1.5公里 新华医院步行约2.3公里
                  ",,"
                    1. 距离2号线学院路地铁站约600米左右，到10号线翠柏路站约700米左右 2. 到文一路隧道和德胜快速路约800米左右 3. 小区门前有公交19路 75路 79路 284路等均可以和地铁进行换乘
                  ",,,,,,,,,,
1735,['保俶北路82号'],西湖-文教,120.146698,30.29048,485,86871,提前预约随时可看,103117197020,1,2室1厅1厨1卫,低楼层 (共5层),55.83㎡,平层,暂无数据,板楼,东 南,砖混结构,简装,一梯三户,无,2021-09-15,已购公房,2016-10-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210915RT237040,"
                    交通便利，视野开阔，格局正气，采光好，诚心出售
                  ","
                    业主售房原因：现在对这个房子没有需求了，考虑卖掉置换一套新一点的电梯房，诚心卖房，也是挂的市场价。
                  ",,,"
                    小区南边是文二路，有公交站文二路马塍路路口站，往西100米是下宁桥站，往南300米是沈塘桥站，都已开通。”
                  ",,,,,,,,"
                    距离农贸市场约50米，距离联华约250米，距离新华医院约500米，距离博库书城约200米，距离西溪数码港约400米，距离五星电器约500米，生活配套成熟。
                  ",,
1736,['耀江文鼎苑'],西湖-申花,120.101319,30.303819,820,88429,提前预约随时可看,103117370216,1,2室2厅1厨1卫,低楼层 (共23层),92.73㎡,平层,72.03㎡,板塔结合,南,钢混结构,简装,两梯三户,有,2021-09-26,商品房,2009-01-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210926YY177592,"
                    配套齐全，地铁口，诚心卖，视野好，采光好 满五唯一
                  ","
                    小区共38幢，分一期和二期，一期1到19幢，二期20到38幢，里面有游泳池，健身房等配，有菜市场，有银行，是改善的优选 旁边有文鼎苑幼儿园，学军紫金港校区，紫金港初中，浙大紫金港校区
                  ","
                    文鼎苑东面是贯穿南北的古墩路，东边萍水西街上1000米有城西银泰城，南面是余杭塘路，有印象城和五洲国际广场，西面是紫荆花路，浙江大学紫金港校区，北面临萍水西街，学军紫金港校区。幼儿园紧挨着小区
                  ",,"
                    
地铁2号线5号线双地铁口三坝站出口距离距离文鼎苑北门70米处，距离小区东门100米有公交车站，B2，860，37，89，54,74，97，K 349，K 73， 93路车交通是十分方便便捷的
                  ",,,,,,,,,,
1737,['莲花新村东区'],西湖-文三西路,120.116863,30.27979,402,42968,提前预约随时可看,103117388199,2,3室1厅1厨1卫,中楼层 (共7层),93.56㎡,平层,83.58㎡,板楼,南,混合结构,简装,一梯两户,无,2021-09-27,已购公房,2012-06-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210927GU283534,"
                    此房满五年，户型好，位置好，采光好


                  ","
                    家里有老人，楼层有点高了，卖掉这套去别的地方置换一套新房， 户型正气，距离3号线 大概三四百米，                     
                  ",,,"
                    
房子三证齐全，权属清晰，可正常交易过户，满五年，产证在手 随时可迁
                  ",,,,,,,,"
                    
配套完善 往北去是三优乐园 往西去有莲花广场 莲花街上还有农贸市场，边上就是公园与小河
                  ",,
